Epoch,Total Loss,Validation Loss,Delta1 Accuracy,Average Time,RMSE
1.0,5.016189164128797,4.39749961937296,0.09222295915643716,0.012658041099022174,1.913538279204533
2.0,3.1766471451726455,3.5433079019702713,0.17715984229640713,0.005607420000536689,1.7273138432667172
3.0,2.170959610363533,2.039053468354817,0.3312804377798376,0.005468397304929536,1.2816257785106528
4.0,1.6931228247182122,1.7845298426932301,0.38326228718305455,0.00521711645455196,1.1980694439904442
5.0,1.438474242029519,1.519272207699973,0.41878792637124146,0.005279635560923609,1.1354173277986461
6.0,1.2110184266649444,1.3330343838395744,0.43616641004537715,0.005506042776436642,1.0850394542874962
7.0,1.098041495372509,1.3653643100426114,0.42982184784165745,0.00543485427724904,1.1058638291112308
8.0,1.0741878336873547,1.0777028375144662,0.4903316104720379,0.005225847507345265,0.9639535577132784
9.0,0.983332609308177,1.002097711480897,0.4868538495281647,0.005679241542158456,0.9448330001584415
10.0,0.867552445880298,0.9903025046504778,0.5006281210687654,0.00530727978410392,0.9318735404261227
11.0,0.7820396464446495,1.0499222042231724,0.4899869630562848,0.005174447750223094,0.9437977322216692
12.0,0.851807915958865,0.9282014737355297,0.5072530790649611,0.005268306567751128,0.9041271528293346
13.0,0.7840523226507778,0.8996557552238991,0.5160002220293571,0.005365240162816541,0.8885346656215602
14.0,0.7942683480936905,0.8829278072406506,0.5339714480114395,0.005296896243917531,0.8778681261786099
15.0,0.6988136244231257,0.9159919778848516,0.5210981367733972,0.005462358737814015,0.9037699910073445
16.0,0.6884636169877546,0.8284343265253922,0.547373236767177,0.005352246350255506,0.8455669992956621
17.0,0.6756812488210613,0.8678821587357027,0.5208527918519645,0.004911985890618686,0.8642296205306875
18.0,0.6395494177423674,0.8633983574550728,0.5379845571929011,0.005826884302599677,0.8734967929535898
19.0,0.6550575032316405,0.8131813779473305,0.5393006190143782,0.005630797353284112,0.8403870072858087
20.0,0.609861543466305,0.8395135014735419,0.5515677788905029,0.005232498563569167,0.8522225633777422
21.0,0.5846671636762291,0.8727707983604793,0.5537545654023516,0.0052422901679729595,0.8736489918725244
22.0,0.6368667740246345,0.8275739982210356,0.5548403988881357,0.005741213930064234,0.851718200691815
23.0,0.5707251419281137,0.7764420470800893,0.568199927308436,0.0056098041863277045,0.8211214804443819
24.0,0.6165916035915243,0.785175604039225,0.560768152490772,0.005437271348361312,0.8240822070631487
25.0,0.5328058507935755,0.778382759926648,0.5679528624590101,0.005476154130080651,0.8189553993529287
26.0,0.5367561075194128,0.8155354597959025,0.560262689944999,0.00548153910143622,0.8454230895330166
27.0,0.5235811019765919,0.7895375631492714,0.5637170830420379,0.005283425594198293,0.8259486365934898
28.0,0.5405625885930555,0.7927580743000425,0.5613925061349211,0.005510358974851411,0.8261566788985811
29.0,0.5054034117994637,0.7970879360519606,0.5604135377396797,0.0051735187398976295,0.8308033213533205
30.0,0.5094599045556167,0.7661074397378954,0.5729885851514751,0.005484285025761045,0.8069246765868417
31.0,0.5823865779514971,0.7929176408155211,0.5612842675683827,0.005620385038441625,0.8316513793221836
32.0,0.4881398831975871,0.7682899989444634,0.5795819281504072,0.00596042748155265,0.8079010248184204
33.0,0.5009843357678118,0.7992476525491682,0.5637651916978688,0.005435664078284954,0.828011275879268
34.0,0.5668906754460828,0.7509923741735262,0.5814862591053905,0.005297410077062146,0.8031602697125797
35.0,0.4899540055414726,0.7494721769772726,0.5814381547529122,0.0054515024711345806,0.794147253036499
36.0,0.46692977280452336,0.747000265866518,0.593252771887286,0.005257203661162278,0.793759091147061
37.0,0.5069957005566564,0.7070802794448261,0.5929497012804295,0.005337521947663406,0.7793102012626056
38.0,0.5112542299361065,0.721911783362257,0.5820783133907564,0.0054265178483108,0.7904067224469679
39.0,0.519651529603991,0.7433844858716274,0.5852261992364094,0.005466876358821474,0.7954827917033228
40.0,0.510534000807795,0.7475619984084162,0.5793936289846897,0.005739795750585096,0.8053971153908762
41.0,0.5067790171195721,0.7249257222845636,0.5910563639782626,0.0051766592880775186,0.7896018917190617
42.0,0.380770874434504,0.708667730848337,0.6010882955943716,0.005415275179106614,0.7735414222396654
43.0,0.4646002866070846,0.7356853294989159,0.5911233730228811,0.005268836843556371,0.7930342878760963
44.0,0.44372628783357554,0.7564054208582845,0.5798877475076708,0.005192645664872794,0.809666129021809
45.0,0.4689304268565671,0.7294436693191528,0.5838809348642826,0.005232227259668811,0.7955295356183216
46.0,0.49691338888530073,0.6915199304449147,0.5833988357977621,0.005272141818342538,0.7706701293073851
47.0,0.464225958133566,0.7263903872206293,0.5902969659916286,0.005492900979929957,0.7918715677384672
48.0,0.424432219616298,0.7093594832153156,0.5987808956154461,0.005677798698688376,0.7767270263926737
